id,regija,upravna_enota,obcina,kraj,povrsina,vrsta_hise,leto,adaptirana,zemljisce,cena
5942928,Savinjska,Mozirje,Nazarje,"ŠMARTNO OB DRETI, CENTER",208.0,samostojna,1900,2010,1076.0,155000.0
5906963,Savinjska,Velenje,Šmartno ob Paki,ŠMARTNO OB PAKI,107.0,samostojna,1973,,1450.0,99990.0
6340571,Savinjska,Velenje,Šmartno ob Paki,ŠMARTNO OB PAKI,182.5,samostojna,2018,,500.0,289000.0
6318561,Savinjska,Velenje,Šmartno ob Paki,ŠMARTNO OB PAKI,311.0,dvostanovanjska,1966,2011,492.0,165000.0
6322490,Savinjska,Velenje,Šmartno ob Paki,ŠMARTNO OB PAKI,311.0,samostojna,1966,2011,492.0,165000.0
6310882,Savinjska,Velenje,Šmartno ob Paki,ŠMARTNO OB PAKI,1406.0,samostojna,1952,,2396.0,337440.0
6341003,LJ-mesto,Lj. Moste-Polje,Ljubljana,ŠMARTNO OB SAVI,115.0,vrstna,1900,2006,157.0,269000.0
6342049,LJ-mesto,Lj. Šiška,Ljubljana,ŠMARTNO POD ŠMARNO GORO,125.0,vrstna,2020,,236.0,335000.0
6299612,LJ-mesto,Lj. Šiška,Ljubljana,ŠMARTNO POD ŠMARNO GORO,198.0,samostojna,2007,,240.0,355000.0
6347415,LJ-mesto,Lj. Šiška,Ljubljana,ŠMARTNO POD ŠMARNO GORO,295.0,samostojna,1972,,553.0,298000.0
6334045,LJ-mesto,Lj. Šiška,Ljubljana,ŠMARTNO POD ŠMARNO GORO,410.0,samostojna,2002,,619.0,690000.0
6366300,LJ-mesto,Lj. Šiška,Ljubljana,"ŠMARTNO POD ŠMARNO GORO, LJ.",125.0,vrstna,2020,,236.0,335000.0
6003703,LJ-mesto,Lj. Šiška,Ljubljana,"ŠMARTNO POD ŠMARNO GORO, LJ. - ZGORNJE GAMELJNE",540.0,dvostanovanjska,2002,,981.0,650000.0
6278377,LJ-okolica,Litija,Šmartno pri Litiji,"ŠMARTNO PRI LITIJI, RAČICA 15",360.0,samostojna,2014,,29054.0,300000.0
5288732,LJ-okolica,Litija,Šmartno pri Litiji,"ŠMARTNO PRI LITIJI, STARETOV TRG",110.0,samostojna,1920,2000,389.0,69000.0
6327030,Savinjska,Celje,Celje,ŠMARTNO V ROŽNI DOLINI,200.0,samostojna,1870,,14636.0,65000.0
6363434,Savinjska,Žalec,Braslovče,ŠMATEVŽ,96.0,samostojna,1920,,2282.0,113000.0
6308167,S.Primorska,Nova Gorica,Nova Gorica,ŠMIHEL,140.0,samostojna,1980,,791.0,155000.0
6366139,Savinjska,Laško,Laško,ŠMIHEL,538.0,samostojna,1985,,1542.0,250000.0
6294959,Savinjska,Mozirje,Mozirje,ŠMIHEL NAD MOZIRJEM,154.2,samostojna,1989,,744.0,76500.0
6373537,Dolenjska,Novo mesto,Žužemberk,ŠMIHEL PRI ŽUŽEMBERKU,100.0,samostojna,1800,1987,2300.0,75000.0
6370653,Dolenjska,Novo mesto,Žužemberk,ŠMIHEL PRI ŽUŽEMBERKU,122.0,samostojna,1800,1987,1811.0,58000.0
6269699,Savinjska,Velenje,Šoštanj,ŠOŠTANJ,380.0,dvostanovanjska,1903,2003,1100.0,210000.0
6210024,Savinjska,Velenje,Šoštanj,ŠOŠTANJ,550.0,samostojna,2008,,1400.0,495000.0
6303806,Savinjska,Velenje,Šoštanj,"ŠOŠTANJ, PARTIZANSKA CESTA",216.5,samostojna,1975,2013,636.0,174000.0
6367570,J. Primorska,Sežana,Komen,ŠTANJEL,652.0,samostojna,1970,1976,2680.0,375000.0
6357634,J. Primorska,Sežana,Komen,"ŠTANJEL, KOBDILJ",211.0,vrstna,2019,,3105.0,350000.0
6353989,J. Primorska,Sežana,Komen,"ŠTANJEL, KOBOLI",162.0,samostojna,1961,1998,2245.0,89500.0
6111057,J. Primorska,Sežana,Komen,"ŠTANJEL, NOVI DEL",187.0,samostojna,1929,1990,487.0,85000.0
6332040,J. Primorska,Sežana,Komen,"ŠTANJEL, PRIMORSKA, KRAS",110.0,samostojna,1990,,3460.0,692000.0
6363567,J. Primorska,Sežana,Komen,"ŠTANJEL, STARI DEL",220.0,vrstna,1850,,228.0,100000.0
6291703,J. Primorska,Sežana,Komen,"ŠTANJEL, STARI DEL ŠTANJELA",50.0,vrstna,1860,,38.0,43950.0
6218579,Podravska,Slovenska Bistrica,Makole,ŠTATENBERG,75.0,samostojna,1980,2010,1973.0,35000.0
6318084,Podravska,Slovenska Bistrica,Makole,ŠTATENBERG,76.1,samostojna,1966,,5413.0,55000.0
6368066,LJ-mesto,Lj. Moste-Polje,Ljubljana,"ŠTEPANJA VAS, GOLOVEC",339.0,samostojna,1963,,2648.0,649000.0
6238138,LJ-mesto,Lj. Moste-Polje,Ljubljana,"ŠTEPANJA VAS, LJ. - LITIJSKA CESTA",224.4,samostojna,1890,1970,629.0,359600.0
6370110,LJ-mesto,Lj. Moste-Polje,Ljubljana,ŠTEPANJSKO NASELJE,146.0,dvojček,2020,,360.0,380000.0
6370359,LJ-mesto,Lj. Moste-Polje,Ljubljana,ŠTEPANJSKO NASELJE,162.0,trojček,2020,,213.0,350000.0
5863161,J. Primorska,Sežana,Sežana,"ŠTJAK, SEŽANA OKOLICA",250.0,vrstna,2006,,129.0,79500.0
6260533,J. Primorska,Sežana,Sežana,ŠTORJE,155.0,samostojna,2000,,322.0,257000.0
6032435,J. Primorska,Sežana,Sežana,"ŠTORJE, SEŽANA OKOLICA",128.0,samostojna,1890,2000,442.0,110000.0
